Datum,Niederschlag in mm,Niederschlag in mm am Vortag,Niederschlag in mm am nächsten Tag
1/2/1948,14.986,11.938,10.668
1/3/1948,10.668,14.986,7.874
1/4/1948,7.874,10.668,4.318
1/5/1948,4.318,7.874,11.176
1/6/1948,11.176,4.318,10.414
1/7/1948,10.414,11.176,1.016
1/8/1948,1.016,10.414,3.048
1/9/1948,3.048,1.016,18.796
1/10/1948,18.796,3.048,0.254
1/11/1948,0.254,18.796,0
1/12/1948,0,0.254,0
1/13/1948,0,0,0
1/14/1948,0,0,0
1/15/1948,0,0,0
1/16/1948,0,0,0
1/17/1948,0,0,0
1/18/1948,0,0,0
1/19/1948,0,0,0
1/20/1948,0,0,0
1/21/1948,0,0,5.334
1/22/1948,5.334,0,0
1/23/1948,0,5.334,2.54
1/24/1948,2.54,0,0
1/25/1948,0,2.54,0
1/26/1948,0,0,0
1/27/1948,0,0,0
1/28/1948,0,0,5.588
1/29/1948,5.588,0,0.762
1/30/1948,0.762,5.588,5.334
1/31/1948,5.334,0.762,0.762
2/1/1948,0.762,5.334,0
2/2/1948,0,0.762,5.08
2/3/1948,5.08,0,3.556
2/4/1948,3.556,5.08,0
2/5/1948,0,3.556,0
2/6/1948,0,0,1.524
2/7/1948,1.524,0,14.224
2/8/1948,14.224,1.524,0
2/9/1948,0,14.224,0
2/10/1948,0,0,0
2/11/1948,0,0,0
2/12/1948,0,0,0
2/13/1948,0,0,12.7
2/14/1948,12.7,0,8.89
2/15/1948,8.89,12.7,21.336
2/16/1948,21.336,8.89,3.302
2/17/1948,3.302,21.336,0.254
2/18/1948,0.254,3.302,0
2/19/1948,0,0.254,18.796
2/20/1948,18.796,0,11.684
2/21/1948,11.684,18.796,2.794
2/22/1948,2.794,11.684,0
2/23/1948,0,2.794,1.27
2/24/1948,1.27,0,24.892
2/25/1948,24.892,1.27,2.286
2/26/1948,2.286,24.892,0
2/27/1948,0,2.286,0
2/28/1948,0,0,0
2/29/1948,0,0,4.826
3/1/1948,4.826,0,0
3/2/1948,0,4.826,0
3/3/1948,0,0,0
3/4/1948,0,0,0
3/5/1948,0,0,1.524
3/6/1948,1.524,0,4.064
3/7/1948,4.064,1.524,2.794
3/8/1948,2.794,4.064,0
3/9/1948,0,2.794,0
3/10/1948,0,0,2.032
3/11/1948,2.032,0,1.524
3/12/1948,1.524,2.032,0.508
3/13/1948,0.508,1.524,0
3/14/1948,0,0.508,0
3/15/1948,0,0,0
3/16/1948,0,0,0.254
3/17/1948,0.254,0,3.302
3/18/1948,3.302,0.254,0
3/19/1948,0,3.302,1.524
3/20/1948,1.524,0,51.816
3/21/1948,51.816,1.524,0.762
3/22/1948,0.762,51.816,0
3/23/1948,0,0.762,10.16
3/24/1948,10.16,0,8.382
3/25/1948,8.382,10.16,0
3/26/1948,0,8.382,0
3/27/1948,0,0,0
3/28/1948,0,0,0
3/29/1948,0,0,0
3/30/1948,0,0,0
3/31/1948,0,0,4.318
4/1/1948,4.318,0,8.636
4/2/1948,8.636,4.318,0.762
4/3/1948,0.762,8.636,4.826
4/4/1948,4.826,0.762,2.032
4/5/1948,2.032,4.826,2.286
4/6/1948,2.286,2.032,0
4/7/1948,0,2.286,2.794
4/8/1948,2.794,0,13.716
4/9/1948,13.716,2.794,4.572
4/10/1948,4.572,13.716,0
4/11/1948,0,4.572,0.762
4/12/1948,0.762,0,0.254
4/13/1948,0.254,0.762,0
4/14/1948,0,0.254,8.382
4/15/1948,8.382,0,0
4/16/1948,0,8.382,9.398
4/17/1948,9.398,0,0
4/18/1948,0,9.398,0
4/19/1948,0,0,0
4/20/1948,0,0,2.286
4/21/1948,2.286,0,6.096
4/22/1948,6.096,2.286,0.508
4/23/1948,0.508,6.096,17.78
4/24/1948,17.78,0.508,0.508
4/25/1948,0.508,17.78,0
4/26/1948,0,0.508,0
4/27/1948,0,0,1.27
4/28/1948,1.27,0,0
4/29/1948,0,1.27,4.064
4/30/1948,4.064,0,0.254
